ep,temp,t_real,checks
33093,9.95,-12,1:22.0;2:22.0;3:-73.3
33106,9.95,5,1:10.0
33206,9.95,4,1:8.0
33239,9.95,55,1:16.0
33275,9.95,199,1:12.0
33282,9.95,198,1:28.0
33292,9.95,2,0:4.0
33359,9.95,53,1:12.0
33360,9.95,12,0:4.0
33423,9.95,13,1:4.0
33511,9.95,199,1:4.0
33557,9.95,7,1:4.0
33581,9.95,17,1:4.0
33631,9.95,44,1:10.0
33658,9.95,16,0:4.0
33678,9.95,23,1:20.0
33680,9.95,8,1:8.0;2:8.0
33750,9.95,198,0:4.0
33777,9.95,31,1:32.0
33845,9.95,9,1:4.0
33991,9.95,9,1:4.0
34032,9.95,198,1:8.0
34120,9.95,2,1:8.0
34134,9.95,8,0:4.0;1:4.0
34146,9.95,16,0:4.0
34206,9.95,12,0:4.0;1:4.0
34226,9.95,198,1:36.0
34273,9.95,9,1:8.0
34278,9.95,34,1:36.0
34284,9.95,26,1:28.0
34358,9.95,3,0:4.0
34382,9.95,198,2:144.0
34493,9.95,38,1:10.0
34555,9.95,12,1:4.0
34629,9.95,199,1:22.0
34648,9.95,2,0:4.0
34650,9.95,20,1:12.0
34682,9.95,6,1:8.0
34696,9.95,6,0:4.0
34764,9.94,2,0:4.0
34862,9.94,2,0:4.0
34878,9.94,10,1:10.0
34962,9.94,4,1:8.0
35008,9.94,118,0:4.0
35032,9.94,198,0:4.0
35040,9.94,198,1:16.0
35097,9.94,199,1:4.0
35118,9.94,3,0:4.0
35122,9.94,198,1:8.0
35244,9.94,8,0:4.0;1:4.0
35278,9.94,2,0:4.0
35286,9.94,2,0:4.0;1:4.0
35352,9.94,128,1:8.0
35504,9.94,78,1:8.0
35574,9.94,198,1:36.0
35606,9.94,198,3:30.0
35637,9.94,13,1:4.0
35660,9.94,198,0:4.0
35735,9.94,9,1:4.0;2:4.0
35737,9.94,29,1:12.0
35817,9.94,17,1:4.0
35824,9.94,3,0:4.0
35868,9.94,198,3:168.0
35978,9.94,4,0:4.0
35987,9.94,1,1:4.0
36064,9.94,38,1:20.0
36156,9.94,8,0:4.0
36198,9.94,4,0:4.0;1:4.0
36203,9.94,5,1:4.0;2:4.0
36245,9.94,199,1:4.0
36313,9.94,13,1:4.0
36358,9.94,160,1:36.0
36405,9.94,7,1:16.0
36540,9.94,3,0:4.0
36558,9.94,96,1:28.0
36590,9.94,6,0:4.0
36598,9.94,10,1:10.0
36690,9.94,198,0:4.0
36744,9.94,198,1:16.0;2:16.0
36756,9.94,198,2:100.0
36761,9.94,34,1:28.0
36820,9.94,142,2:32.0
36846,9.94,4,0:4.0
36856,9.94,198,0:4.0
36868,9.94,2,0:4.0
36887,9.94,3,1:4.0
36945,9.94,3,1:4.0
36988,9.94,12,0:4.0
37094,9.94,10,1:16.0
37111,9.94,14,1:12.0
37140,9.94,6,0:4.0
37154,9.94,198,0:4.0
37185,9.94,60,1:4.0
37212,9.94,40,1:12.0
37283,9.94,11,1:10.0
37320,9.94,96,1:28.0
37322,9.94,198,1:20.0;2:42.0
37370,9.94,6,0:4.0
37397,9.94,14,1:10.0
37446,9.94,88,1:36.0
37582,9.94,28,1:8.0
37620,9.94,18,3:40.0
37719,9.94,9,1:4.0
37747,9.94,14,1:12.0
37876,9.94,4,0:4.0
37910,9.94,154,3:104.0
37937,9.94,1,1:4.0;2:4.0
38022,9.94,198,1:20.0
38244,9.94,7,2:18.0
38386,9.94,88,0:4.0;2:12.0
38517,9.94,199,1:4.0
38578,9.94,8,0:4.0
38594,9.94,93,3:90.0
38661,9.94,3,1:4.0
38694,9.94,16,0:4.0
38827,9.94,16,1:4.0
38849,9.94,20,1:28.0
38958,9.94,4,1:8.0
39017,9.94,3,1:4.0;2:4.0
39063,9.94,3,1:4.0
39071,9.94,19,1:10.0
39186,9.94,4,0:4.0
39229,9.94,199,1:102.0
39251,9.94,69,1:28.0
39270,9.94,4,1:8.0
39286,9.94,4,0:4.0
39322,9.94,16,0:4.0
39333,9.94,11,1:10.0
39396,9.94,198,3:32.0
39416,9.94,198,1:8.0
39490,9.94,166,3:336.0
39493,9.94,9,1:4.0
39514,9.94,110,3:64.0
39664,9.94,2,0:4.0;1:4.0
39804,9.94,198,1:10.0
39826,9.94,198,1:10.0
39860,9.94,198,2:56.0
39938,9.94,8,0:4.0
39972,9.94,8,0:4.0
39996,9.94,4,0:4.0
40029,9.94,53,1:12.0
40049,9.94,199,1:16.0
40084,9.94,68,1:20.0
40101,9.94,45,1:10.0
40158,9.94,10,1:8.0
40207,9.94,14,1:10.0
40258,9.94,6,0:4.0
40268,9.94,2,0:4.0
40346,9.94,2,0:4.0
40405,9.94,7,1:4.0
40526,9.94,8,0:4.0
40594,9.94,198,1:28.0
40603,9.94,13,1:4.0
40704,9.94,12,0:4.0
40707,9.94,3,1:4.0
40808,9.94,198,2:112.0
40830,9.94,198,1:16.0
40834,9.94,8,0:4.0
40907,9.94,199,1:8.0
40973,9.94,4,1:4.0
41030,9.94,14,0:4.0
41034,9.94,198,0:4.0
41044,9.94,10,1:12.0
41087,9.93,199,1:28.0;2:28.0
41138,9.93,198,1:8.0
41140,9.93,198,1:40.0
41262,9.93,95,1:8.0
41494,9.93,2,0:4.0
41528,9.93,198,1:252.0
41538,9.93,34,1:8.0
41567,9.93,5,1:12.0
41618,9.93,198,1:28.0
41692,9.93,2,0:4.0
41705,9.93,199,1:4.0
41748,9.93,2,0:4.0
42022,9.93,8,0:4.0
42054,9.93,198,1:10.0
42072,9.93,22,1:16.0
42080,9.93,198,0:4.0
42154,9.93,198,1:12.0;2:78.0
42184,9.93,96,1:28.0
42244,9.93,10,1:16.0
42250,9.93,57,2:30.0;3:118.0
42273,9.93,71,1:16.0
42298,9.93,25,1:36.0
42358,9.93,29,2:20.0
42425,9.93,5,1:4.0
42467,9.93,3,1:4.0
42481,9.93,13,1:4.0
42486,9.93,2,0:4.0
42526,9.93,169,1:8.0;2:26.0
42618,9.93,33,2:70.0
42670,9.93,198,1:16.0;2:128.0
42771,9.93,11,1:16.0
42796,9.93,16,0:4.0
42858,9.93,198,0:4.0
42997,9.93,3,1:4.0
43058,9.93,8,0:4.0
43208,9.93,8,0:4.0
43235,9.93,29,1:12.0
43275,9.93,27,1:8.0
43287,9.93,21,1:16.0
43316,9.93,34,1:36.0
43376,9.93,198,0:4.0;2:8.0
43386,9.93,2,0:4.0
43404,9.93,198,1:24.0
43436,9.93,4,1:8.0
43446,9.93,14,1:8.0
43471,9.93,19,1:10.0
43537,9.93,199,1:8.0
43556,9.93,198,0:4.0
43568,9.93,8,0:4.0
43576,9.93,3,0:4.0
43794,9.93,18,1:8.0
43805,9.93,5,1:8.0
43834,9.93,198,1:26.0
43853,9.93,6,1:10.0
43879,9.93,8,1:12.0
43902,9.93,8,1:8.0
43954,9.93,14,1:8.0
44070,9.93,22,1:12.0
44136,9.93,2,0:4.0
44218,9.93,2,0:4.0
44238,9.93,4,1:8.0
44312,9.93,110,3:224.0
44388,9.93,198,1:12.0
44440,9.93,26,1:8.0
44450,9.93,2,0:4.0
44536,9.93,14,1:8.0
44602,9.93,22,1:16.0
44690,9.93,198,1:16.0
44714,9.93,4,0:4.0
44740,9.93,88,1:20.0
44789,9.93,98,1:22.0
44862,9.93,2,0:4.0
44864,9.93,198,0:4.0
44950,9.93,6,0:4.0
45142,9.93,198,0:4.0
45216,9.93,198,0:4.0
45347,9.93,199,1:4.0
45360,9.93,6,1:8.0
45372,9.93,10,1:16.0
45388,9.93,13,1:12.0
45412,9.93,198,2:252.0
45470,9.93,12,0:4.0
45526,9.93,198,1:28.0
45540,9.93,6,0:4.0
45545,9.93,21,1:22.0
45656,9.93,198,1:8.0
45664,9.93,2,0:4.0
45700,9.93,124,2:252.0
45767,9.93,11,1:10.0
46018,9.93,16,0:4.0
46022,9.93,133,0:4.0
46054,9.93,198,1:28.0
46078,9.93,52,1:36.0
46108,9.93,5,1:10.0;2:10.0
46194,9.93,79,1:8.0
46252,9.93,4,0:4.0
46304,9.93,138,3:280.0
