mode,eps_min,alpha_min,weight
absorption,0.9212,0.064298,3
absorption,2.2207,0.228294,7
absorption,3.9604,0.407132,4
absorption,1.9340,0.069518,1
absorption,2.6350,0.270875,7
absorption,0.9163,0.094201,6
absorption,2.1537,0.184310,6
absorption,1.5149,0.129641,5
absorption,0.5168,0.044226,4
absorption,1.1247,0.115625,6
absorption,0.9247,0.079137,5
absorption,1.1530,0.080479,1
absorption,2.3956,0.246264,4
absorption,1.8966,0.162308,8
absorption,16.0825,1.653295,4
absorption,3.6983,0.380183,1
absorption,0.8410,0.071972,4
absorption,0.7778,0.066566,3
absorption,14.2991,1.469957,7
absorption,2.1279,0.182097,5
absorption,1.6624,0.116036,2
absorption,0.0883,0.003173,1
absorption,0.7552,0.064632,2
absorption,0.5233,0.044783,2
absorption,0.9054,0.093074,4
absorption,0.0958,0.006688,3
absorption,2.9380,0.302027,5
absorption,0.2100,0.014660,1
absorption,0.9044,0.032511,1
absorption,2.9178,0.299950,2
absorption,1.4958,0.128007,4
absorption,1.0003,0.085604,1
absorption,1.1241,0.096196,5
absorption,1.5390,0.158210,1
absorption,2.1483,0.220844,2
absorption,0.0207,0.001769,2
absorption,0.4153,0.028987,2
absorption,2.1725,0.151640,1
absorption,0.1578,0.016222,4
absorption,0.5939,0.050822,2
absorption,1.6828,0.144007,4
absorption,4.1587,0.427516,3
absorption,0.3021,0.021085,3
absorption,0.9470,0.081046,2
absorption,1.9955,0.139286,2
absorption,1.7582,0.150466,3
absorption,1.0825,0.075557,4
absorption,2.7374,0.234260,2
absorption,2.2787,0.159050,1
absorption,0.6283,0.053767,2
absorption,3.8022,0.390869,3
absorption,0.9990,0.069729,1
absorption,0.5287,0.036902,1
absorption,5.8037,0.596628,3
absorption,1.3228,0.113198,1
absorption,2.3264,0.199087,1
absorption,0.8686,0.074336,3
absorption,2.5660,0.219595,1
absorption,0.0547,0.003820,1
absorption,3.3755,0.235605,2
absorption,0.8576,0.030827,2
absorption,2.1557,0.184483,1
absorption,0.6640,0.056823,1
absorption,0.5432,0.037912,3
absorption,2.0053,0.206143,1
absorption,1.3894,0.142827,2
absorption,5.3500,0.549979,3
absorption,2.3912,0.204637,2
absorption,0.9213,0.064307,1
absorption,0.5875,0.053016,9
absorption,1.2609,0.113791,4
absorption,1.0132,0.128574,5
absorption,5.1324,0.651290,3
